brand,model,year,mileage,engine_size,price
BMW,F900R 900 R,2020,5600.0,900.0,8500.0
BMW,R 1100 S,2000,32000.0,1100.0,5000.0
BMW,F 900 XR,2021,2900.0,900.0,11500.0
BMW,R 1250 GS ADVENTURE,2022,0.0,1250.0,24865.0
BMW,R 1250 RS Imperial Blue Metallic,2022,6.0,1250.0,17740.0
BMW,R 1250 GS GS Trophy,2023,0.0,1250.0,24340.0
BMW,F 900 XR Sport,2023,13.0,900.0,15710.0
BMW,R 1250 GS Adventure Rally,2023,15.0,1250.0,26225.0
BMW,F 850 GS Triple Black 850 GS ADVENTURE,2023,14.0,850.0,16130.0
BMW,R 1250 GS Triple Black Factory Low Suspension,2023,0.0,1250.0,23790.0
BMW,F 750 GS Triple Black,2023,13.0,750.0,13135.0
BMW,R 18 B Gravity Blue Metallic,2023,1.0,18.0,22999.0
BMW,R 1250 GS Rallye,2023,3.0,1250.0,23025.0
BMW,R 1250 GS Rallye,2023,14.0,1250.0,24170.0
BMW,R1250GSA 1250 GS ADVENTURE,2023,3.0,1250.0,25145.0
BMW,S 1000 R Black Storm Metallic,2023,14.0,1000.0,18755.0
BMW,R 1250 GS Triple Black Factory Low Suspension,2023,0.0,1250.0,23790.0
BMW,R 1250 R Triple Black,2023,6.0,1250.0,18510.0
BMW,R 1250 GS Rallye,2023,4.0,1250.0,22735.0
BMW,R 1250 GS Triple Black,2023,14.0,1250.0,24005.0
BMW,R1150RT,2003,55193.0,1150.0,3999.0
BMW,F 900 R Sport,2023,6.0,900.0,12501.0
BMW,R 18 Transcontinental,2023,3.0,18.0,27460.0
BMW,R 18 Transcontinental,2022,5.0,18.0,30240.0
BMW,K 1600 GTL Black Storm Metallic,2022,115.0,1600.0,27500.0
BMW,R1800TC BASE,2022,2.0,1800.0,23999.0
BMW,R 1250 GS Rally,2022,6.0,1250.0,22030.0
BMW,R 1250 GS Adventure Triple Black,2022,6.0,1250.0,24315.0
BMW,G 310 R,2022,0.0,310.0,5740.0
BMW,S 1000 RR Passion,2023,0.0,1000.0,21700.0
BMW,G 310 R,2022,0.0,310.0,5740.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2022,14.0,1250.0,24515.0
BMW,R 1250 GS Adventure Triple Black,2022,5.0,1250.0,22315.0
BMW,R 1250 GS GS Trophy,2023,0.0,1250.0,27083.0
BMW,R 1250 GS Rallye,2023,6.0,1250.0,23150.0
BMW,R1250GS ADVENTURE 1250 GS ADVENTURE,2023,14.0,1250.0,25410.0
BMW,R 1250 RT,2023,10.0,1250.0,26510.0
BMW,R 1250 GS Adventure,2022,0.0,1250.0,24515.0
BMW,R 1250 GS,2023,0.0,1250.0,21685.0
BMW,K 1200 RS,2002,37800.0,1200.0,4600.0
BMW,R 1250 RT,2023,302.0,1250.0,25000.0
BMW,R1250 R,2022,0.0,1250.0,18165.0
BMW,R 1250 GS Adventure,2022,33.0,1250.0,22415.0
BMW,F 900 R,2022,3.0,900.0,12700.0
BMW,G310GS 310 GS,2022,0.0,310.0,6440.0
BMW,S 1000 XR,2018,14000.0,1000.0,13500.0
BMW,R 1200 RT,2006,18008.0,1200.0,6900.0
